city_code,cluster_code,province_code,volume,lat,long
6912,2668,424,60.0,32.728268,52.679115
6930,1496,149,26568.0,36.641006,52.899826
6986,2670,424,24440.0,33.904133,51.768002
7008,1496,149,63289.0,36.651875,53.293648
7029,2108,289,2.0,36.135738,59.11237
7039,7039,424,205097.0,32.631535,51.35059
7040,1895,424,3016.0,34.080826,51.437946
7049,1317,754,136952.0,37.263592,49.944908
7058,1317,754,111660.0,37.07468,50.399403
7127,7127,149,4289201.0,36.698936,52.649338
7154,1629,424,2.0,32.465576,51.555962
7201,7201,754,646020.0,37.253253,50.252217
7221,7221,149,1171527.0,36.682804,52.516685
7222,1120,987,252054.0,35.654701,50.979176
7228,1011,149,144389.0,36.179642,52.974686
7252,1496,149,163540.0,36.698289,52.589626
7256,2136,490,2.0,27.25174,52.867359
7274,7274,149,2834799.0,36.289951,52.880951
7278,1496,149,60950.0,36.725136,53.81105
7280,2670,424,10596.0,33.778317,51.230152
7285,1895,424,17799.0,32.378839,51.19253
7339,7339,754,15686400.0,37.284145,49.590408
7366,1317,754,14344.0,38.154221,48.890347
7399,7399,490,362379.0,26.681817,55.890957
7401,3617,987,2215.0,35.605221,51.026104
7412,7412,149,746711.0,36.85349,50.474754
7416,2670,424,22206.0,32.420319,52.650612
7432,3351,424,793.0,34.035901,51.05459
7458,4541,754,1826.0,37.406818,49.118267
7515,2451,987,2.0,35.558689,51.169491
7562,7562,754,491847.0,37.163815,49.403091
7599,1209,289,541.0,36.29966,59.284773
7613,1317,754,14967.0,37.041752,50.413738
7619,7619,424,10398302.0,32.577637,51.659054
7634,1297,424,2139.0,33.446743,51.170345
7651,7651,754,341430.0,37.550556,49.139702
7766,1239,929,92396.0,35.721559,50.986858
7810,7810,149,7142121.0,36.647083,51.499844
7888,1629,424,2.0,32.776722,51.649837
7896,1120,987,34661.0,35.632957,51.201299
7963,1209,289,2267.0,35.704033,59.848278
7992,1297,424,2317.0,32.804729,51.693562
8008,3127,754,2.0,37.2836,49.379486
8043,8043,149,387738.0,36.74823,51.03511
8122,1317,754,9798.0,37.25235,49.825085
8139,1496,149,32928.0,36.584385,51.686092
8143,1629,424,2.0,32.573837,51.455849
8216,1317,754,34007.0,37.374146,49.758698
8234,8234,987,128.0,35.50494,51.189137
8270,1120,987,20669.0,35.634552,51.133152
8271,1317,754,189694.0,37.422337,49.930534
8304,8304,987,491037.0,35.754559,52.773872
8375,8375,754,413584.0,37.434215,49.878531
8377,2108,289,2.0,34.355602,59.861969
8428,1239,929,5127.0,35.846039,50.884048
8445,1224,987,58060.0,35.474312,51.675701
8503,8503,424,136.0,37.767738,45.836803
8504,2451,987,2.0,35.305553,51.722439
8545,8545,149,3517522.0,36.631439,52.252369
8592,1629,424,2.0,32.668564,52.130466
8593,1629,424,2.0,33.599468,51.228264
8619,1297,424,3374.0,32.629906,51.442719
8628,1895,424,17069.0,32.939987,50.139385
8656,6593,424,76.0,32.319454,52.103912
8682,2136,490,2.0,25.848217,54.653672
8695,1895,424,83944.0,33.58651,51.590858
8699,2451,987,2.0,35.523815,51.355103
8715,8715,490,1861154.0,27.179347,56.278142
8728,1156,149,2.0,36.317166,52.885947
8738,1239,929,20833.0,35.736645,50.899551
8789,1297,424,6125.0,32.699741,51.103882
8837,1496,149,129231.0,36.84795,50.790531
8838,8838,754,678174.0,37.132648,50.300255
8840,1496,149,124883.0,36.687219,52.572572
8856,8856,987,1031445.0,35.819401,51.637291
8913,1011,149,97845.0,36.113667,53.057751
8930,1629,424,2.0,32.655102,51.759548
8957,6197,424,188.0,33.701836,51.981644
8978,8978,149,25997474.0,36.915989,50.662334
8979,8979,149,656517.0,36.482399,52.121132
8999,8999,424,3255330.0,33.983395,51.432083
9059,9059,929,1917720.0,35.72472,50.952766
9062,3127,754,2.0,36.701328,49.790562
9063,1317,754,150211.0,37.603432,49.069382
9076,2108,289,4.0,35.241646,60.621616
9077,1120,987,177445.0,36.011219,51.491228
9091,1317,754,206711.0,36.883541,49.907143
9150,1371,289,77114.0,36.209213,57.68232
9220,2337,490,13181.0,26.951206,55.587902
9221,2136,490,2.0,25.657701,57.785668
9308,9308,289,7.0,35.687992,61.090454
9356,9356,289,23496052.0,36.310432,59.575672
9508,1011,149,11502.0,36.678082,53.426044
9547,9547,929,13426452.0,35.939625,50.800458
9581,1496,149,65140.0,36.878063,50.716972
